status,Short name,Next,Parent,Contest ID,Full name,Date,Location,Venue,Web,Scoreboard,Frozen SB,Standings,Rankings,ICPC standings,Any
1200,2950,2437,3383,3530,3323,2145,,,743,1208,18,446,63,572,1899
33.99%,83.57%,69.04%,95.84%,100.00%,94.14%,60.76%,,,21.05%,51.85%,0.77%,19.14%,2.70%,24.55%,81.50%
future,wf-2027,-,-,9557,51st Annual World Finals of the International Collegiate Programming Contest,,,,,,,,,,
future,wf-2026,wf-2027,-,9150,50th Annual World Finals of the International Collegiate Programming Contest,2026-11-20,"Dubai, UAE",,,,,,,,
,wf-2025,wf-2026,-,8732,49th Annual World Championship of the International Collegiate Programming Contest,2025-09-04,"Baku, Azerbaijan",,,https://worldfinals.icpc.global/scoreboard/2025/finals/index.html,,https://cphof.org/standings/icpc/2025,,,Yes
,wf-2024,wf-2025,-,7445,48th Annual World Championship of the International Collegiate Programming Contest,2024-09-19,"Astana, Kazakhstan",,,https://zibada.guru/finals/2024/,,https://cphof.org/standings/icpc/2024,,,Yes
,wf-2023,wf-2024,-,5366,47th Annual World Championship of the International Collegiate Programming Contest,2024-04-19,"Luxor, Egypt",,,https://zibada.guru/finals/2023/,,https://cphof.org/standings/icpc/2023,,,Yes
,wf-2022,wf-2023,-,4673,46th Annual World Championship of the International Collegiate Programming Contest,2024-04-19,"Luxor, Egypt",,,https://zibada.guru/finals/2022/,,https://cphof.org/standings/icpc/2022,,,Yes
,wf-2021,wf-2022,-,4298,45th Annual World Finals of the International Collegiate Programming Contest,2022-11-11,"Dhaka, Bangladesh",,,https://www.domjudge.org/scoreboard/wf2021/,,https://cphof.org/standings/icpc/2021,,,Yes
,wf-2020,wf-2021,-,3980,44th Annual World Finals of the International Collegiate Programming Contest,2021-10-06,"Moscow, Russia",,,https://www.domjudge.org/scoreboard/wf2020/,,https://cphof.org/standings/icpc/2020,,,Yes
,wf-2019,wf-2020,-,3512,43rd Annual World Finals of the International Collegiate Programming Contest,2019-04-05,"Porto, Portugal",,,"https://www.domjudge.org/scoreboard/wf2019/, https://web.archive.org/web/20191211025347/https://icpc.baylor.edu/scoreboard/, https://web.archive.org/web/20201207094903/https://icpc.global/scoreboard/",,https://cphof.org/standings/icpc/2019,,,Yes
,wf-2018,wf-2019,-,3241,42nd Annual World Finals of the International Collegiate Programming Contest,2018-04-19,"Beijing, China",,,"https://www.domjudge.org/scoreboard/wf2018/, https://web.archive.org/web/20181010145851/https://icpc.baylor.edu/scoreboard/",,https://cphof.org/standings/icpc/2018,,,Yes
,wf-2017,wf-2018,-,3007,41st Annual World Finals of the ACM International Collegiate Programming Contest,2017-05-24,"Rapid City, SD, USA",,,"https://zibada.guru/finals/2017/, https://web.archive.org/web/20171026224300/https://icpc.baylor.edu/scoreboard/",,https://cphof.org/standings/icpc/2017,,,Yes
,wf-2016,wf-2017,-,2745,40th Annual World Finals of the ACM International Collegiate Programming Contest,2016-05-20,"Phuket, Thailand",,,"https://zibada.guru/finals/2016/, https://web.archive.org/web/20170203185935/https://icpc.baylor.edu/scoreboard/",,https://cphof.org/standings/icpc/2016,,,Yes
,wf-2015,wf-2016,-,2409,39th Annual World Finals of the ACM International Collegiate Programming Contest,2015-05-20,"Marrakech, Morocco",,,"http://web.archive.org/web/20160315094603/http://board.acmicpc.info/icpc2015/board.php, '",,https://cphof.org/standings/icpc/2015,,,Yes
,wf-2014,wf-2015,-,1811,38th Annual World Finals of the ACM International Collegiate Programming Contest,2014-06-26,"Yekaterinburg, Russia",,,"http://web.archive.org/web/20191217131634/http://board.acmicpc.info/icpc2014/board.php, https://web.archive.org/web/20141027084221/http://icpc.baylor.edu/scoreboard/",,https://cphof.org/standings/icpc/2014,,,Yes
